Category2
" Pennsylvania Cancer Incidence: Age-Adjusted Rates per 100,000"

RateRatio,Cancer_Site,County,Year,Sex,Race_Ethnicity,Age,Stage,Count,Exp_Count,Pop,RateRatioResult,LowerBound_Result,UpperBoundResult,SignificanceResult,County_Code
Age-Adjusted Rate,All Cancers,Perry,2014,Total,All Races,All Ages,Unknown,28,18.4,"45,634",48.3,31.7,71.1,,099
Age-Adjusted Rate,All Cancers,Philadelphia,2014,Total,All Races,All Ages,Invasive,"8,211","7,500.7","1,560,297",513.1,501.8,524.5,+,101
Age-Adjusted Rate,All Cancers,Philadelphia,2014,Total,All Races,All Ages,Early,"4,463","4,385.8","1,560,297",280.3,271.9,288.8,,101
Age-Adjusted Rate,All Cancers,Philadelphia,2014,Total,All Races,All Ages,Late,"3,824","3,367.4","1,560,297",239.2,231.5,247.0,+,101
Age-Adjusted Rate,All Cancers,Philadelphia,2014,Total,All Races,All Ages,Unknown,601,535.6,"1,560,297",36.9,33.9,40.0,+,101
Age-Adjusted Rate,All Cancers,Pike,2014,Total,All Races,All Ages,Invasive,330,388.2,"56,191",402.9,358.4,452.2,-,103
Age-Adjusted Rate,All Cancers,Pike,2014,Total,All Races,All Ages,Early,160,226.1,"56,191",201.4,169.5,238.3,-,103
Age-Adjusted Rate,All Cancers,Pike,2014,Total,All Races,All Ages,Late,147,175.7,"56,191",175.5,147.2,208.7,-,103
Age-Adjusted Rate,All Cancers,Pike,2014,Total,All Races,All Ages,Unknown,39,26.8,"56,191",47.2,33.0,66.4,+,103
Age-Adjusted Rate,All Cancers,Potter,2014,Total,All Races,All Ages,Invasive,101,122.5,"17,206",393.0,315.7,485.7,,105
Age-Adjusted Rate,All Cancers,Potter,2014,Total,All Races,All Ages,Early,55,70.3,"17,206",214.8,158.4,287.0,,105
Age-Adjusted Rate,All Cancers,Potter,2014,Total,All Races,All Ages,Late,49,55.4,"17,206",191.5,139.1,259.8,,105
Age-Adjusted Rate,All Cancers,Potter,2014,Total,All Races,All Ages,Unknown,4,9.1,"17,206",ND,ND,ND,,105
Age-Adjusted Rate,All Cancers,Schuylkill,2014,Total,All Races,All Ages,Invasive,949,962.9,"145,797",461.6,431.8,493.1,,107
Age-Adjusted Rate,All Cancers,Schuylkill,2014,Total,All Races,All Ages,Early,513,553.6,"145,797",252.1,230.1,275.9,,107
Age-Adjusted Rate,All Cancers,Schuylkill,2014,Total,All Races,All Ages,Late,446,434.5,"145,797",216.2,196.0,238.1,,107
Age-Adjusted Rate,All Cancers,Schuylkill,2014,Total,All Races,All Ages,Unknown,67,73.2,"145,797",31.2,24.0,40.2,,107
Age-Adjusted Rate,All Cancers,Snyder,2014,Total,All Races,All Ages,Invasive,204,235.6,"40,323",395.3,342.0,455.1,-,109
Age-Adjusted Rate,All Cancers,Snyder,2014,Total,All Races,All Ages,Early,129,136.4,"40,323",247.7,206.2,295.9,,109
Age-Adjusted Rate,All Cancers,Snyder,2014,Total,All Races,All Ages,Late,80,106.4,"40,323",156.6,123.7,196.3,-,109
Age-Adjusted Rate,All Cancers,Snyder,2014,Total,All Races,All Ages,Unknown,14,17.2,"40,323",ND,ND,ND,,109
Age-Adjusted Rate,All Cancers,Somerset,2014,Total,All Races,All Ages,Invasive,496,527.2,"76,218",448.0,407.6,491.8,,111
Age-Adjusted Rate,All Cancers,Somerset,2014,Total,All Races,All Ages,Early,277,302.2,"76,218",257.1,226.2,291.4,,111
Age-Adjusted Rate,All Cancers,Somerset,2014,Total,All Races,All Ages,Late,245,238.0,"76,218",219.6,191.7,250.8,,111
Age-Adjusted Rate,All Cancers,Somerset,2014,Total,All Races,All Ages,Unknown,20,40.4,"76,218",15.6,9.4,25.3,-,111
Age-Adjusted Rate,All Cancers,Sullivan,2014,Total,All Races,All Ages,Invasive,54,53.5,"6,339",493.7,355.5,679.8,,113
Age-Adjusted Rate,All Cancers,Sullivan,2014,Total,All Races,All Ages,Early,34,30.6,"6,339",313.4,205.7,470.6,,113
Age-Adjusted Rate,All Cancers,Sullivan,2014,Total,All Races,All Ages,Late,23,24.3,"6,339",206.4,122.2,341.5,,113
Age-Adjusted Rate,All Cancers,Sullivan,2014,Total,All Races,All Ages,Unknown,5,4.0,"6,339",ND,ND,ND,,113
Age-Adjusted Rate,All Cancers,Susquehanna,2014,Total,All Races,All Ages,Invasive,274,289.7,"41,920",449.3,394.5,510.3,,115
Age-Adjusted Rate,All Cancers,Susquehanna,2014,Total,All Races,All Ages,Early,121,167.9,"41,920",201.8,165.2,244.9,-,115
Age-Adjusted Rate,All Cancers,Susquehanna,2014,Total,All Races,All Ages,Late,136,131.0,"41,920",221.7,184.0,265.7,,115
Age-Adjusted Rate,All Cancers,Susquehanna,2014,Total,All Races,All Ages,Unknown,29,20.6,"41,920",46.2,30.3,68.7,,115
Age-Adjusted Rate,All Cancers,Tioga,2014,Total,All Races,All Ages,Invasive,282,277.2,"42,274",477.8,421.7,540.0,,117
Age-Adjusted Rate,All Cancers,Tioga,2014,Total,All Races,All Ages,Early,163,160.0,"42,274",292.7,247.4,344.4,,117
Age-Adjusted Rate,All Cancers,Tioga,2014,Total,All Races,All Ages,Late,118,125.4,"42,274",191.9,158.1,231.7,,117
Age-Adjusted Rate,All Cancers,Tioga,2014,Total,All Races,All Ages,Unknown,24,20.0,"42,274",37.4,23.9,57.2,,117
Age-Adjusted Rate,All Cancers,Union,2014,Total,All Races,All Ages,Invasive,227,253.8,"44,874",421.5,367.4,481.7,,119
Age-Adjusted Rate,All Cancers,Union,2014,Total,All Races,All Ages,Early,135,146.6,"44,874",253.0,211.5,300.6,,119
Age-Adjusted Rate,All Cancers,Union,2014,Total,All Races,All Ages,Late,93,114.2,"44,874",177.7,142.7,219.0,,119
Age-Adjusted Rate,All Cancers,Union,2014,Total,All Races,All Ages,Unknown,19,19.2,"44,874",ND,ND,ND,,119
Age-Adjusted Rate,All Cancers,Venango,2014,Total,All Races,All Ages,Invasive,384,369.0,"53,529",494.4,443.5,550.0,,121
Age-Adjusted Rate,All Cancers,Venango,2014,Total,All Races,All Ages,Early,215,212.5,"53,529",278.0,239.8,321.0,,121
Age-Adjusted Rate,All Cancers,Venango,2014,Total,All Races,All Ages,Late,178,166.9,"53,529",227.2,193.5,265.6,,121
Age-Adjusted Rate,All Cancers,Venango,2014,Total,All Races,All Ages,Unknown,17,27.3,"53,529",ND,ND,ND,,121
Age-Adjusted Rate,All Cancers,Warren,2014,Total,All Races,All Ages,Invasive,263,285.5,"40,703",437.1,382.9,497.6,,123
Age-Adjusted Rate,All Cancers,Warren,2014,Total,All Races,All Ages,Early,150,164.2,"40,703",257.4,215.3,306.1,,123
Age-Adjusted Rate,All Cancers,Warren,2014,Total,All Races,All Ages,Late,110,129.1,"40,703",185.9,150.7,227.7,,123
Age-Adjusted Rate,All Cancers,Warren,2014,Total,All Races,All Ages,Unknown,18,21.3,"40,703",ND,ND,ND,,123
Age-Adjusted Rate,All Cancers,Washington,2014,Total,All Races,All Ages,Invasive,"1,424","1,368.7","208,187",489.2,463.1,516.6,,125
Age-Adjusted Rate,All Cancers,Washington,2014,Total,All Races,All Ages,Early,796,788.3,"208,187",281.6,261.5,302.9,,125
Age-Adjusted Rate,All Cancers,Washington,2014,Total,All Races,All Ages,Late,698,617.9,"208,187",235.5,217.7,254.5,+,125
Age-Adjusted Rate,All Cancers,Washington,2014,Total,All Races,All Ages,Unknown,94,102.6,"208,187",30.8,24.6,38.2,,125
Age-Adjusted Rate,All Cancers,Wayne,2014,Total,All Races,All Ages,Invasive,326,361.1,"51,401",424.2,377.5,476.0,,127
Age-Adjusted Rate,All Cancers,Wayne,2014,Total,All Races,All Ages,Early,153,210.0,"51,401",198.8,166.9,235.8,-,127
Age-Adjusted Rate,All Cancers,Wayne,2014,Total,All Races,All Ages,Late,157,163.2,"51,401",204.1,172.3,241.0,,127
Age-Adjusted Rate,All Cancers,Wayne,2014,Total,All Races,All Ages,Unknown,43,25.3,"51,401",56.4,40.5,77.6,+,127
Age-Adjusted Rate,All Cancers,Westmoreland,2014,Total,All Races,All Ages,Invasive,"2,616","2,518.3","359,320",494.8,475.0,515.2,+,129
Age-Adjusted Rate,All Cancers,Westmoreland,2014,Total,All Races,All Ages,Early,"1,560","1,445.0","359,320",302.9,287.2,319.3,+,129
Age-Adjusted Rate,All Cancers,Westmoreland,2014,Total,All Races,All Ages,Late,"1,166","1,138.2","359,320",216.4,203.6,229.9,,129
Age-Adjusted Rate,All Cancers,Westmoreland,2014,Total,All Races,All Ages,Unknown,218,191.0,"359,320",39.3,34.0,45.4,+,129
Age-Adjusted Rate,All Cancers,Wyoming,2014,Total,All Races,All Ages,Invasive,161,180.2,"28,131",420.6,355.4,495.3,,131
Age-Adjusted Rate,All Cancers,Wyoming,2014,Total,All Races,All Ages,Early,89,104.9,"28,131",236.4,187.5,295.1,,131
Age-Adjusted Rate,All Cancers,Wyoming,2014,Total,All Races,All Ages,Late,75,81.3,"28,131",196.8,153.1,250.2,,131
Age-Adjusted Rate,All Cancers,Wyoming,2014,Total,All Races,All Ages,Unknown,14,12.7,"28,131",ND,ND,ND,,131
Age-Adjusted Rate,All Cancers,York,2014,Total,All Races,All Ages,Invasive,"2,544","2,563.6","440,755",466.4,448.0,485.4,,133
Age-Adjusted Rate,All Cancers,York,2014,Total,All Races,All Ages,Early,"1,481","1,494.4","440,755",274.0,259.8,288.7,,133
Age-Adjusted Rate,All Cancers,York,2014,Total,All Races,All Ages,Late,"1,173","1,155.9","440,755",214.8,202.4,227.8,,133
Age-Adjusted Rate,All Cancers,York,2014,Total,All Races,All Ages,Unknown,178,182.9,"440,755",32.0,27.4,37.2,,133

